  ENERO 2007,,,,
Hueytlalpan,506,498,896,1.8
Huitzilan de Serdán,1815,1800,3420,1.9
Ixtepec,410,400,640,1.6
Jonotla,721,706,1057,1.497
Olintla,1160,1150,1840,1.6
Teziutlán,200,200,400,2
Tlatlauquitepec,1680,1680,3360,2
Tuzamapan de Galeana,642,635,952,1.498
Xochitlán de Vicente Suárez,710,700,1018,1.455
Yaonáhuac,210,210,378,1.8
Zacapoaxtla,25,22,33,1.5
Zapotitlán de Méndez,496,480,864,1.801
Zongozotla,936,922,1844,2
Zoquiapan,210,202,362,1.794
TOTAL,22768,22597,38899,1.721
  OCTUBRE 2017,,,,
Acateno,130,130,169,1.3
Atempan,148,148,259,1.75
Atlequizayan,160,160,272,1.7
Ayotoxco de Guerrero,750,750,1050,1.4
Caxhuacan,278,278,417,1.5
Cuetzalan del Progreso,4835,4790,6582,1.374
Huehuetla,1276,1266,2279,1.8
Hueyapan,670,670,1206,1.8
Hueytamalco,4800,4800,9600,2
Hueytlalpan,506,498,896,1.8
Huitzilan de Serdán,1815,1800,3420,1.9
Ixtepec,410,400,640,1.6
Jonotla,721,706,1057,1.497
Olintla,1160,1150,1840,1.6
Teziutlán,200,200,400,2
Tlatlauquitepec,1680,1680,3360,2
Tuzamapan de Galeana,642,635,952,1.498
Xochitlán de Vicente Suárez,710,700,1018,1.455
Yaonáhuac,210,210,378,1.8
Zacapoaxtla,25,22,33,1.5
Zapotitlán de Méndez,496,480,864,1.801
Zongozotla,936,922,1844,2
Zoquiapan,210,202,362,1.794
TOTAL,22768,22597,38899,1.721
  NOVIEMBRE 2017,,,,
Acateno,130,130,169,1.3
Atempan,148,148,259,1.75
Atlequizayan,160,160,272,1.7
Ayotoxco de Guerrero,750,750,1050,1.4
Caxhuacan,278,278,417,1.5
Cuetzalan del Progreso,4835,4790,6582,1.374
Huehuetla,1276,1266,2279,1.8
Hueyapan,670,670,1206,1.8
Hueytamalco,4800,4800,9600,2
Hueytlalpan,506,498,896,1.8
Huitzilan de Serdán,1815,1800,3420,1.9
Ixtepec,410,400,640,1.6
Jonotla,721,706,1057,1.497
Olintla,1160,1150,1840,1.6
Teziutlán,200,200,400,2
Tlatlauquitepec,1680,1680,3360,2
Tuzamapan de Galeana,642,635,952,1.498
Xochitlán de Vicente Suárez,710,700,1018,1.455
Yaonáhuac,210,210,378,1.8
Zacapoaxtla,25,22,33,1.5
Zapotitlán de Méndez,496,480,864,1.801
Zongozotla,936,922,1844,2
Zoquiapan,210,202,362,1.794
